#nu [Hz]            Compton Emission    
6.41986             -198.155            
6.48986             -198.155            
6.55986             -198.155            
6.62986             -198.155            
6.69986             -198.155            
6.76986             -198.155            
6.83986             -198.155            
6.90986             -198.155            
6.97986             -198.155            
7.04986             -198.155            
7.11986             -198.155            
7.18986             -198.155            
7.25986             -198.155            
7.32986             -198.155            
7.39986             -198.155            
7.46986             -198.155            
7.53986             -198.155            
7.60986             -198.155            
7.67986             -198.155            
7.74986             -198.155            
7.81986             -198.155            
7.88986             -198.155            
7.95986             -198.155            
8.02986             -198.155            
8.09986             -198.155            
8.16986             -198.155            
8.23986             -198.155            
8.30986             -198.155            
8.37986             -198.155            
8.44986             -198.155            
8.51986             -198.155            
8.58986             -198.155            
8.65986             -198.155            
8.72986             -198.155            
8.79986             -198.155            
8.86986             -198.155            
8.93986             -198.155            
9.00986             -198.155            
9.07986             -198.155            
9.14986             -198.155            
9.21986             -198.155            
9.28986             -198.155            
9.35986             -198.155            
9.42986             -198.155            
9.49986             -198.155            
9.56986             -198.155            
9.63986             -198.155            
9.70986             -198.155            
9.77986             -198.155            
9.84986             -198.155            
9.91986             -198.155            
9.98986             -198.155            
10.0599             -198.155            
10.1299             -198.155            
10.1999             -198.155            
10.2699             -198.155            
10.3399             -198.155            
10.4099             -198.155            
10.4799             -198.155            
10.5499             -198.155            
10.6199             -198.155            
10.6899             -198.155            
10.7599             -198.155            
10.8299             -198.155            
10.8999             -198.155            
10.9699             -198.155            
11.0399             -198.155            
11.1099             -198.155            
11.1799             -198.155            
11.2499             -198.155            
11.3199             -198.155            
11.3899             -198.155            
11.4599             -198.155            
11.5299             -198.155            
11.5999             -198.155            
11.6699             -198.155            
11.7399             -198.155            
11.8099             -198.155            
11.8799             -198.155            
11.9499             -198.155            
12.0199             -198.155            
12.0899             -198.155            
12.1599             -198.155            
12.2299             -198.155            
12.2999             -198.155            
12.3699             -198.155            
12.4399             -198.155            
12.5099             -198.155            
12.5799             -198.155            
12.6499             -198.155            
12.7199             -198.155            
12.7899             -198.155            
12.8599             -198.155            
12.9299             -198.155            
12.9999             -198.155            
13.0699             -198.155            
13.1399             -198.155            
13.2099             -198.155            
13.2799             -198.155            
13.3499             -198.155            
13.4199             -198.155            
13.4899             -198.155            
13.5599             -198.155            
13.6299             -198.155            
13.6999             -198.155            
13.7699             -198.155            
13.8399             -198.155            
13.9099             -198.155            
13.9799             -198.155            
14.0499             -198.155            
14.1199             -198.155            
14.1899             -198.155            
14.2599             -198.155            
14.3299             -198.155            
14.3999             -198.155            
14.4699             -198.155            
14.5399             -198.155            
14.6099             -198.155            
14.6799             -198.155            
14.7499             -198.155            
14.8199             -198.155            
14.8899             -198.155            
14.9599             -198.155            
15.0299             -198.155            
15.0999             -198.155            
15.1699             -198.155            
15.2399             -198.155            
15.3099             -198.155            
